dataset,method,n_train,n_test,split_type,rmse,mae,ll,nll,crps,picp95,mpiw95,interval_score95,ece_reg,mean_var_aleatoric,mean_var_epistemic,epi_ratio,train_time_s,predict_time_ms_per_1k,n_parameters
sin_homo,mcd,250,600,in_range,0.140235620007813,0.1105665840724349,0.5712405300188799,-0.5712405300188799,0.0779158685356165,0.965,0.5861252320152082,0.6578558216815861,0.0149999999999999,0.01,0.0127839156807838,0.5610938813105736,7.450081699993461,139.98209999408573,151
sin_homo,mcd,250,400,extrapolation,0.8874195389261892,0.8029200705981178,-12.102762152977872,12.102762152977872,0.7060376759055115,0.1025,0.685880219860361,19.48172310923512,0.2290789473684211,0.01,0.0207015275259339,0.6742833075144917,7.450081699993461,139.98209999408573,151
sin_homo,map,250,600,in_range,0.1033734548622988,0.0821765151347038,0.8493430012809863,-0.8493430012809863,0.0583623588551369,0.9383333333333334,0.3919927969080108,0.4859690446475711,0.0348245614035087,0.01,0.0,0.0,6.457594500039704,0.6304999114945531,151
sin_homo,map,250,400,extrapolation,0.2144469191735299,0.1833988344406784,-0.9157274973615496,0.9157274973615496,0.1402822877042334,0.575,0.3919927969080109,2.017270315519462,0.1594736842105263,0.01,0.0,0.0,6.457594500039704,0.6304999114945531,151
sin_homo,laplace,250,600,in_range,0.1033734548622988,0.0821765151347038,0.8512489435461758,-0.8512489435461758,0.0583333954635313,0.9416666666666668,0.3983392821566457,0.4838330099637218,0.0345614035087718,0.01,0.0003269624303705,0.0316610457891261,6.61918059992604,202.5546999648213,151
sin_homo,laplace,250,400,extrapolation,0.2144469191735299,0.1833988344406784,-0.1735505712515442,0.1735505712515442,0.1494035323410957,0.9725,1.588007994143171,1.658278940188195,0.0605263157894736,0.01,0.2138403637604223,0.9553253049092474,6.61918059992604,202.5546999648213,151
sin_homo,ensemble,250,600,in_range,0.1042692560890133,0.0826751298231883,0.8394716494132295,-0.8394716494132295,0.0588095823286499,0.9366666666666666,0.3997211403107614,0.4945990350406036,0.0324561403508771,0.01,0.0003996801958254,0.0384319698586392,32.266610000049695,2.5186999700963497,755
sin_homo,ensemble,250,400,extrapolation,0.2019245423164035,0.1733876133754054,-0.5229411208529573,0.5229411208529573,0.1293782690067624,0.6375,0.4213316449979234,1.5745984026555129,0.1385526315789474,0.01,0.001637528430757,0.1407110144134372,32.266610000049695,2.5186999700963497,755
sin_homo,bbb,250,600,in_range,0.1160058059178968,0.0924528703131197,0.7230318796857281,-0.7230318796857281,0.0655865173368491,0.9766666666666668,0.527032004553488,0.560057277267004,0.0295614035087719,0.01,0.0082205703214641,0.4511697590376828,142.29020429996308,42.9672000464052,302
sin_homo,bbb,250,400,extrapolation,0.7254043408964939,0.6643968302754097,-10.758956539194171,10.758956539194171,0.5850197912222348,0.1175,0.5657933610936978,16.22795284855436,0.2255263157894737,0.01,0.0110836848294371,0.5256996070232481,142.29020429996308,42.9672000464052,302
