dataset,split_index,epochs,hidden,n_train,n_validation,n_test,chosen_dropout_p,chosen_tau,validation_ll,validation_rmse,rmse,ll,published_rmse,published_ll,rmse_difference,ll_difference,t_samples,timestamp,git_commit
yacht,0,4000,50,277,56,31,0.005,0.75,-1.1858262408789437,0.5833981306281545,0.6680290108511726,-1.2205413192378407,0.885646995095317,-1.3110059312080142,-0.21761798424414436,0.09046461197017353,10000,2026-08-30T23:12:28.074769+00:00,1806733
yacht,1,4000,50,277,56,31,0.005,0.75,-1.2197979350457953,0.5932383918978463,1.0996014246650456,-1.4993581069086266,0.6057907960602585,-1.201944274220226,0.4938106286047871,-0.2974138326884006,10000,2026-08-30T23:12:29.949041+00:00,1806733
yacht,2,4000,50,277,56,31,0.005,0.75,-1.3932859765869903,1.2491104677953917,0.4502359939556066,-1.174897379041068,0.36680925031115097,-1.1386527314361787,0.08342674364445563,-0.03624464760488921,10000,2026-08-30T23:12:30.432501+00:00,1806733
yacht,3,4000,50,277,56,31,0.005,0.75,-1.213613226516959,0.5816390236892551,0.8308503164117114,-1.3112061348812243,0.7439440454474578,-1.2476662590115237,0.08690627096425352,-0.06353987586970056,10000,2026-08-30T23:12:33.078223+00:00,1806733
yacht,4,4000,50,277,56,31,0.01,0.75,-1.239870733503469,0.762457939255542,0.7720024485878626,-1.2138717112957036,0.5377407748143762,-1.2218535063793108,0.2342616737734864,0.00798179508360719,10000,2026-08-30T23:12:33.496544+00:00,1806733
yacht,5,4000,50,277,56,31,0.01,0.75,-1.2733159854144915,0.7423252080864592,0.7555877874263698,-1.264326348737893,0.576525109098027,-1.2204540505653356,0.17906267832834277,-0.043872298172557445,10000,2026-08-30T23:12:33.823442+00:00,1806733
yacht,6,4000,50,277,56,31,0.01,0.75,-1.2842252506485061,0.7048613583465351,0.6252679821298383,-1.2344310781821144,0.4529432465887782,-1.1714197396911215,0.17232473554106004,-0.06301133849099294,10000,2026-08-30T23:12:34.169061+00:00,1806733
yacht,7,4000,50,277,56,31,0.005,0.75,-1.3169368579451177,0.8864149028631169,0.570119756873394,-1.1731690370016634,0.949718148944075,-1.3849432786534897,-0.379598392070681,0.21177424165182623,10000,2026-08-30T23:12:34.514355+00:00,1806733
yacht,8,4000,50,277,56,31,0.01,0.75,-1.2942050782738745,0.7736448584554748,0.8213664274056124,-1.2979221793245792,0.4860618264838019,-1.183757610411186,0.33530460092181047,-0.11416456891339322,10000,2026-08-30T23:17:11.586144+00:00,1806733
yacht,9,4000,50,277,56,31,0.005,0.75,-1.239204127162688,0.7106916693454625,0.4378580616890874,-1.160270120563692,0.38826199577129017,-1.1592421873363965,0.04959606591779725,-0.0010279332272955521,10000,2026-08-30T23:17:11.970799+00:00,1806733
yacht,10,4000,50,277,56,31,0.01,0.75,-1.3448081164980725,0.9767559296490707,0.7596430756714184,-1.289991095669509,0.7968458989372855,-1.3536369369460255,-0.0372028232658671,0.0636458412765164,10000,2026-08-30T23:17:12.349839+00:00,1806733
yacht,11,4000,50,277,56,31,0.005,0.75,-1.1810488098671403,0.560120253619524,1.2324603656577622,-1.3735818999389309,1.2587985706266305,-1.3443089560124832,-0.026338204968868295,-0.029272943926447637,10000,2026-08-30T23:17:12.731522+00:00,1806733
yacht,12,4000,50,277,56,31,0.005,0.75,-1.2667700231347925,0.689362024816286,0.4932406676198056,-1.1911098475585058,0.6656787824784248,-1.2632000087861566,-0.1724381148586192,0.07209016122765077,10000,2026-08-30T23:17:17.921672+00:00,1806733
yacht,13,4000,50,277,56,31,0.01,0.75,-1.2697401833698245,0.681217440903724,1.012636342505868,-1.3819299126752014,0.6045064321965646,-1.262759465603726,0.40812991030930335,-0.1191704470714754,10000,2026-08-30T23:17:18.404166+00:00,1806733
yacht,14,4000,50,277,56,31,0.005,0.75,-1.2470954292997618,0.8623506226028487,0.7578153547340921,-1.2905734853527715,0.6383038723060603,-1.2891860880202384,0.11951148242803178,-0.0013873973325331246,10000,2026-08-30T23:17:18.853453+00:00,1806733
yacht,15,4000,50,277,56,31,0.005,0.75,-1.2258847034725828,0.5819502188320516,0.4984705946089772,-1.2080113535609505,0.49768147509054395,-1.2143676074842424,0.0007891195184332456,0.006356253923291977,10000,2026-08-30T23:17:22.191466+00:00,1806733
yacht,16,4000,50,277,56,31,0.005,0.75,-1.2132206717585052,0.6228758180458345,0.4997136440050613,-1.1799770168688561,0.48652183771178675,-1.1899994762703916,0.013191806293274544,0.010022459401535455,10000,2026-08-30T23:22:10.226679+00:00,1806733
yacht,17,4000,50,277,56,31,0.005,0.75,-1.2024828862543917,0.5255518470362425,0.7113163321283706,-1.2553815353873288,0.7128305590126972,-1.2533636044970509,-0.0015142268843265638,-0.002017930890277908,10000,2026-08-30T23:22:10.580784+00:00,1806733
yacht,18,4000,50,277,56,31,0.01,0.75,-1.2933339580399363,0.760313056378321,0.7057960773328251,-1.2288665840254995,0.6866121445155889,-1.2410882761524138,0.019183932817236182,0.012221692126914263,10000,2026-08-30T23:22:11.735440+00:00,1806733
yacht,19,4000,50,277,56,31,0.005,0.75,-1.3446897525330483,1.0661596140360523,0.743065570196245,-1.2776636101804362,0.9842739956588167,-1.350115948450116,-0.2412084254625717,0.07245233826967978,10000,2026-08-30T23:22:12.075630+00:00,1806733
energy,0,4000,50,691,139,77,0.005,0.75,-1.219200800416396,0.5731342500131718,0.4763152954817593,-1.1878378002929657,0.43528679995892394,-1.1736070369820333,0.041028495522835384,-0.014230763310932426,10000,2026-08-30T23:27:27.434347+00:00,1806733
